widen =4
Epoch:12, AUC: 0.9197422222222221\
Epoch:13, AUC: 0.9248855555555555\
Epoch:14, AUC: 0.9228989999999999\
Epoch:15, AUC: 0.9274618888888889\
Dataset: CIFAR10True Class:8\
Epoch:0, AUC: 0.8131855555555555\
Epoch:1, AUC: 0.838904\
Epoch:2, AUC: 0.8610533333333334\
Epoch:3, AUC: 0.8716767777777777\
Epoch:4, AUC: 0.8789453333333334\
Epoch:5, AUC: 0.8752982222222223\
Epoch:6, AUC: 0.8809658888888888\
Epoch:7, AUC: 0.883359\
Epoch:8, AUC: 0.8847325555555555\
Epoch:9, AUC: 0.8878888888888888\
Epoch:10, AUC: 0.8821186666666667\
Epoch:11, AUC: 0.9024004444444444\
Epoch:12, AUC: 0.8903666666666666\
Epoch:13, AUC: 0.8952112777777776\
Epoch:14, AUC: 0.902545888888889\
Epoch:15, AUC: 0.9026382222222223\
Dataset: CIFAR10True Class:9
